Symbol;OrdenN;Fecha;Accion;Precio;Profit;Num_Shares;Dias_Posicion;Capital_Actual;Signal;TakeProfit;StopLoss;Entry_Price;Comentario;Threshold_Buy;Threshold_Buy_Grados
AAPL;1;2020-01-02;BUY;72.53851;0.0;137.85780821800722;0;10000.0;0.5237125158309937;73.62658764999999;70.3623547;72.53851;;0.51;1.5
AAPL;2;2020-01-09;SELL_TAKEPROFIT;74.77973;308.9696769343619;137.85780821800722;5;10308.969676934363;0.5260632634162903;73.62658764999999;70.3623547;72.53851;;0.51;1.5
AAPL;3;2020-01-10;BUY;74.94881;0.0;137.5468093080379;0;10308.969676934363;0.5260632634162903;76.07304214999999;72.7003457;74.94881;;0.51;1.5
AAPL;4;2020-01-13;SELL_TAKEPROFIT;76.55005;220.24545293640318;137.5468093080379;1;10529.215129870767;0.5260632634162903;76.07304214999999;72.7003457;74.94881;;0.51;1.5
AAPL;5;2020-01-14;BUY;75.51637;0.0;139.42957175868978;0;10529.215129870767;0.5260632634162903;76.64911554999999;73.25087889999999;75.51637;;0.51;1.5
AAPL;6;2020-01-17;SELL_TAKEPROFIT;76.97753;203.7289130709281;139.42957175868978;3;10732.944042941695;0.5260632634162903;76.64911554999999;73.25087889999999;75.51637;;0.51;1.5
AAPL;7;2020-01-21;BUY;76.45586;0.0;140.38092100385367;0;10732.944042941695;0.5260632634162903;77.6026979;74.1621842;76.45586;;0.51;1.5
AAPL;8;2020-01-28;SELL_PATIENCE;76.72637;37.97444294075268;140.38092100385367;5;10770.918485882448;0.5248539447784424;77.6026979;74.1621842;76.45586;;0.51;1.5
AAPL;9;2020-01-29;BUY;78.33243;0.0;137.50267272293797;0;10770.918485882448;0.5248539447784424;79.50741645;75.9824571;78.33243;;0.51;1.5
AAPL;10;2020-01-31;SELL_STOPLOSS;74.75076;-492.4891978115656;137.50267272293797;2;10278.429288070884;0.5262518525123596;79.50741645;75.9824571;78.33243;;0.51;1.5
AAPL;11;2020-02-03;BUY;74.54549;0.0;137.881302920819;0;10278.429288070884;0.5235599279403687;75.66367235;72.3091253;74.54549;;0.51;1.5
AAPL;12;2020-02-04;SELL_TAKEPROFIT;77.00649;339.3258864881353;137.881302920819;1;10617.755174559019;0.5235599279403687;75.66367235;72.3091253;74.54549;;0.51;1.5
AAPL;13;2020-02-05;BUY;77.63444;0.0;136.76604319628015;0;10617.755174559019;0.5221620202064514;78.7989566;75.3054068;77.63444;;0.51;1.5
AAPL;14;2020-02-12;SELL_TAKEPROFIT;79.21069;215.57747558813682;136.76604319628015;5;10833.332650147157;0.5221620202064514;78.7989566;75.3054068;77.63444;;0.51;1.5
AAPL;15;2020-02-13;BUY;78.64661;0.0;137.74697536419126;0;10833.332650147157;0.5248539447784424;79.82630914999999;76.2872117;78.64661;;0.51;1.5
AAPL;16;2020-02-21;SELL_STOPLOSS;75.78519;-394.1519502466035;137.74697536419126;5;10439.180699900553;0.5235599279403687;79.82630914999999;76.2872117;78.64661;;0.51;1.5
AAPL;17;2020-02-24;BUY;72.18536;0.0;144.61631416537304;0;10439.180699900553;0.5235599279403687;73.2681404;70.0197992;72.18536;;0.51;1.5
AAPL;18;2020-02-25;SELL_STOPLOSS;69.74026;-353.6013497657531;144.61631416537304;1;10085.5793501348;0.5235599279403687;73.2681404;70.0197992;72.18536;;0.51;1.5
AAPL;19;2020-02-26;BUY;70.84661;0.0;142.35796674159567;0;10085.5793501348;0.5235599279403687;71.90930914999998;68.7212117;70.84661;;0.51;1.5
AAPL;20;2020-02-27;SELL_STOPLOSS;66.2155;-659.27540335667;142.35796674159567;1;9426.30394677813;0.5265031456947327;71.90930914999998;68.7212117;70.84661;;0.51;1.5
AAPL;21;2020-02-28;BUY;66.17675;0.0;142.44132488794222;0;9426.30394677813;0.5265031456947327;67.16940124999999;64.1914475;66.17675;;0.51;1.5
AAPL;22;2020-03-02;SELL_TAKEPROFIT;72.33787;877.5980955935981;142.44132488794222;1;10303.902042371727;0.525155246257782;67.16940124999999;64.1914475;66.17675;;0.51;1.5
AAPL;23;2020-03-03;BUY;70.04046;0.0;147.1135689624501;0;10303.902042371727;0.525155246257782;71.09106689999999;67.9392462;70.04046;;0.51;1.5
AAPL;24;2020-03-04;SELL_TAKEPROFIT;73.28924;477.9396205738302;147.1135689624501;1;10781.841662945557;0.525155246257782;71.09106689999999;67.9392462;70.04046;;0.51;1.5
AAPL;25;2020-03-05;BUY;70.91195;0.0;152.0454826435538;0;10781.841662945557;0.525155246257782;71.97562925;68.7845915;70.91195;;0.51;1.5
AAPL;26;2020-03-09;SELL_STOPLOSS;64.43616;-984.6146160482998;152.0454826435538;2;9797.227046897257;0.5260515213012695;71.97562925;68.7845915;70.91195;;0.51;1.5
AAPL;27;2020-03-10;BUY;69.07694;0.0;141.83064633287546;0;9797.227046897257;0.5240362882614136;70.11309409999998;67.0046318;69.07694;;0.51;1.5
AAPL;28;2020-03-11;SELL_STOPLOSS;66.67786;-340.26306700427455;141.83064633287546;1;9456.963979892982;0.5255260467529297;70.11309409999998;67.0046318;69.07694;;0.51;1.5
AAPL;29;2020-03-12;BUY;60.09312;0.0;157.37182525874812;0;9456.963979892982;0.5260515213012695;60.99451679999999;58.2903264;60.09312;;0.51;1.5
AAPL;30;2020-03-13;SELL_TAKEPROFIT;67.29277;1133.0220617241469;157.37182525874812;1;10589.986041617129;0.5260515213012695;60.99451679999999;58.2903264;60.09312;;0.51;1.5
AAPL;31;2020-03-16;BUY;58.63576;0.0;180.6062723774217;0;10589.986041617129;0.5260515213012695;59.51529639999999;56.8766872;58.63576;;0.51;1.5
AAPL;32;2020-03-17;SELL_TAKEPROFIT;61.21399;465.64450963164086;180.6062723774217;1;11055.630551248769;0.5260515213012695;59.51529639999999;56.8766872;58.63576;;0.51;1.5
AAPL;33;2020-03-18;BUY;59.71547;0.0;185.13846665275796;0;11055.630551248769;0.5256422758102417;60.611202049999996;57.924005900000004;59.71547;;0.51;1.5
AAPL;34;2020-03-20;SELL_STOPLOSS;55.4959;-781.2047197339787;185.13846665275796;2;10274.42583151479;0.5261677503585815;60.611202049999996;57.924005900000004;59.71547;;0.51;1.5
AAPL;35;2020-03-23;BUY;54.31693;0.0;189.1569687667324;0;10274.42583151479;0.5261677503585815;55.131683949999996;52.6874221;54.31693;;0.51;1.5
AAPL;36;2020-03-24;SELL_TAKEPROFIT;59.7663;1030.786310888369;189.1569687667324;1;11305.21214240316;0.5248198509216309;55.131683949999996;52.6874221;54.31693;;0.51;1.5
AAPL;37;2020-03-25;BUY;59.43707;0.0;190.2047348969786;0;11305.21214240316;0.5248198509216309;60.32862604999999;57.653957899999995;59.43707;;0.51;1.5
AAPL;38;2020-03-26;SELL_TAKEPROFIT;62.56483;594.9147616213742;190.2047348969786;1;11900.126904024533;0.5248198509216309;60.32862604999999;57.653957899999995;59.43707;;0.51;1.5
AAPL;39;2020-03-27;BUY;59.97451;0.0;198.41974372153325;0;11900.126904024533;0.5248198509216309;60.87412765;58.1752747;59.97451;;0.51;1.5
AAPL;40;2020-03-30;SELL_TAKEPROFIT;61.68605;339.6033281691529;198.41974372153325;1;12239.730232193686;0.5248198509216309;60.87412765;58.1752747;59.97451;;0.51;1.5
AAPL;41;2020-03-31;BUY;61.56016;0.0;198.825510398181;0;12239.730232193686;0.5236270427703857;62.4835624;59.7133552;61.56016;;0.51;1.5
AAPL;42;2020-04-01;SELL_STOPLOSS;58.32104;-644.0196872409559;198.825510398181;1;11595.71054495273;0.5241525173187256;62.4835624;59.7133552;61.56016;;0.51;1.5
AAPL;43;2020-04-02;BUY;59.29423;0.0;195.56220807577282;0;11595.71054495273;0.5241525173187256;60.18364344999999;57.5154031;59.29423;;0.51;1.5
AAPL;44;2020-04-06;SELL_TAKEPROFIT;63.54044;830.3982035534268;195.56220807577282;2;12426.108748506156;0.5248198509216309;60.18364344999999;57.5154031;59.29423;;0.51;1.5
AAPL;45;2020-04-07;BUY;62.80449;0.0;197.85382778374853;0;12426.108748506156;0.5236270427703857;63.746557349999996;60.9203553;62.80449;;0.51;1.5
AAPL;46;2020-04-08;SELL_TAKEPROFIT;64.41195;318.04211400926505;197.85382778374853;1;12744.150862515422;0.5236270427703857;63.746557349999996;60.9203553;62.80449;;0.51;1.5
AAPL;47;2020-04-09;BUY;64.87675;0.0;196.43633293152666;0;12744.150862515422;0.5236270427703857;65.84990124999999;62.9304475;64.87675;;0.51;1.5
AAPL;48;2020-04-13;SELL_TAKEPROFIT;66.15014;250.14006199167517;196.43633293152666;1;12994.290924507097;0.5236270427703857;65.84990124999999;62.9304475;64.87675;;0.51;1.5
AAPL;49;2020-04-14;BUY;69.4909;0.0;186.9926986771951;0;12994.290924507097;0.5225052833557129;70.53326349999999;67.406173;69.4909;;0.51;1.5
AAPL;50;2020-04-20;SELL_STOPLOSS;67.04099;-458.11528241624757;186.9926986771951;4;12536.17564209085;0.5253453254699707;70.53326349999999;67.406173;69.4909;;0.51;1.5
AAPL;51;2020-04-21;BUY;64.96874;0.0;192.9570381400478;0;12536.17564209085;0.5261677503585815;65.94327109999999;63.0196778;64.96874;;0.51;1.5
AAPL;52;2020-04-22;SELL_TAKEPROFIT;66.84008;361.08822375299775;192.9570381400478;1;12897.263865843848;0.5248198509216309;65.94327109999999;63.0196778;64.96874;;0.51;1.5
AAPL;53;2020-04-23;BUY;66.58103;0.0;193.70778532329476;0;12897.263865843848;0.5248198509216309;67.57974544999999;64.5835991;66.58103;;0.51;1.5
AAPL;54;2020-04-24;SELL_TAKEPROFIT;68.5032;372.3392937148791;193.70778532329476;1;13269.603159558726;0.5248198509216309;67.57974544999999;64.5835991;66.58103;;0.51;1.5
